username,mal_id,score
-alquimista-,306,8
-alquimista-,1292,5
-alquimista-,47,6
-alquimista-,3080,8
-alquimista-,54,3
-alquimista-,1205,9
-alquimista-,3401,6
-alquimista-,1370,8
-alquimista-,2251,10
-alquimista-,3901,9
-alquimista-,530,7
-alquimista-,740,6
-alquimista-,1686,7
-alquimista-,2889,9
-alquimista-,4835,6
-alquimista-,8247,4
-alquimista-,762,7
-alquimista-,834,7
-alquimista-,1681,8
-alquimista-,1689,7
-alquimista-,4975,5
-alquimista-,60,5
-alquimista-,2817,6
-alquimista-,1575,9
-alquimista-,1953,4
-alquimista-,2904,9
-alquimista-,2124,6
-alquimista-,1,10
-alquimista-,5,9
-alquimista-,4037,9
-alquimista-,3840,5
-alquimista-,11843,7
-alquimista-,2025,8
-alquimista-,4182,7
-alquimista-,974,7
-alquimista-,1535,10
-alquimista-,2994,7
-alquimista-,223,8
-alquimista-,225,7
-alquimista-,987,4
-alquimista-,813,8
-alquimista-,894,6
-alquimista-,895,6
-alquimista-,896,6
-alquimista-,897,6
-alquimista-,898,6
-alquimista-,899,6
-alquimista-,900,6
-alquimista-,901,6
-alquimista-,902,6
-alquimista-,903,6
-alquimista-,904,6
-alquimista-,905,6
-alquimista-,906,6
-alquimista-,14837,6
-alquimista-,986,7
-alquimista-,985,7
-alquimista-,984,7
-alquimista-,12231,5
-alquimista-,5152,7
-alquimista-,6746,9
-alquimista-,8408,0
-alquimista-,2953,6
-alquimista-,226,4
-alquimista-,376,3
-alquimista-,227,6
-alquimista-,121,9
-alquimista-,5114,9
-alquimista-,908,6
-alquimista-,664,7
-alquimista-,430,7
-alquimista-,4725,5
-alquimista-,2890,7
-alquimista-,239,7
-alquimista-,43,7
-alquimista-,3014,8
-alquimista-,1140,7
-alquimista-,918,10
-alquimista-,7472,9
-alquimista-,15335,10
-alquimista-,9969,9
-alquimista-,15417,8
-alquimista-,10643,8
-alquimista-,2951,8
-alquimista-,6945,10
-alquimista-,4872,8
-alquimista-,650,7
-alquimista-,387,9
-alquimista-,270,8
-alquimista-,379,9
-alquimista-,5630,10
-alquimista-,6399,6
-alquimista-,256,8
-alquimista-,10408,8
-alquimista-,431,9
-alquimista-,3326,8
-alquimista-,731,6
-alquimista-,617,7
-alquimista-,3010,7
-alquimista-,1192,7
-alquimista-,3958,8
-alquimista-,5978,8
-alquimista-,1004,8
-alquimista-,2593,8
-alquimista-,3782,8
-alquimista-,7711,8
-alquimista-,572,9
-alquimista-,8129,8
-alquimista-,3358,4
-alquimista-,4898,9
-alquimista-,6793,7
-alquimista-,5039,4
-alquimista-,1887,8
-alquimista-,4472,8
-alquimista-,13203,7
-alquimista-,512,8
-alquimista-,585,10
-alquimista-,164,10
-alquimista-,3001,9
-alquimista-,5597,7
-alquimista-,597,9
-alquimista-,601,6
-alquimista-,30,6
-alquimista-,1655,9
-alquimista-,9999,7
-alquimista-,4155,9
-alquimista-,8740,8
-alquimista-,12859,9
-alquimista-,459,7
-alquimista-,460,7
-alquimista-,461,7
-alquimista-,462,8
-alquimista-,463,7
-alquimista-,464,9
-alquimista-,465,6
-alquimista-,2107,6
-alquimista-,3848,8
-alquimista-,8171,0
-alquimista-,16239,6
-alquimista-,15323,7
-alquimista-,2385,5
-alquimista-,1238,7
-alquimista-,2490,5
-alquimista-,2020,7
-alquimista-,1237,7
-alquimista-,5252,8
-alquimista-,2680,7
-alquimista-,466,6
-alquimista-,1094,6
-alquimista-,2386,6
-alquimista-,785,7
-alquimista-,770,8
-alquimista-,1943,6
-alquimista-,437,9
-alquimista-,528,7
-alquimista-,564,8
-alquimista-,1007,7
-alquimista-,1008,6
-alquimista-,1011,6
-alquimista-,1010,6
-alquimista-,418,6
-alquimista-,792,6
-alquimista-,6675,7
-alquimista-,2543,5
-alquimista-,45,8
-alquimista-,46,7
-alquimista-,401,7
-alquimista-,44,9
-alquimista-,573,5
-alquimista-,166,8
-alquimista-,205,9
-alquimista-,2605,8
-alquimista-,3674,6
-alquimista-,199,9
-alquimista-,5355,7
-alquimista-,339,7
-alquimista-,3588,7
-alquimista-,3086,8
-alquimista-,2418,9
-alquimista-,5681,7
-alquimista-,7311,6
-alquimista-,849,5
-alquimista-,4382,4
-alquimista-,2154,3
-alquimista-,2001,6
-alquimista-,4107,0
-alquimista-,3352,5
-alquimista-,513,9
-alquimista-,1303,7
-alquimista-,2236,9
-alquimista-,759,7
-alquimista-,6211,8
-alquimista-,523,8
-alquimista-,2210,7
-alquimista-,6,9
-alquimista-,4106,10
-alquimista-,2129,7
-alquimista-,5365,9
-alquimista-,12883,8
-alquimista-,3228,9
-Ayu,5525,7
-Ayu,23579,4
-Ayu,32601,6
-Ayu,31646,10
-Ayu,35180,10
-Ayu,36793,4
-Ayu,9776,6
-Ayu,25397,2
-Ayu,33337,7
-Ayu,12291,6
-Ayu,101,6
-Ayu,102,6
-Ayu,30123,8
-Ayu,31173,8
-Ayu,31483,6
-Ayu,22199,4
-Ayu,4744,3
-Ayu,25013,8
-Ayu,30370,5
-Ayu,47,8
-Ayu,22729,7
-Ayu,27655,6
-Ayu,34350,4
-Ayu,31771,8
-Ayu,36800,7
-Ayu,15085,3
-Ayu,32171,2
-Ayu,6547,7
-Ayu,35427,7
-Ayu,31080,7
-Ayu,9989,7
-Ayu,11433,5
-Ayu,11111,4
-Ayu,24833,8
-Ayu,30654,8
-Ayu,21995,6
-Ayu,24151,5
-Ayu,9919,7
-Ayu,11737,6
-Ayu,33506,7
-Ayu,30205,4
-Ayu,15133,4
-Ayu,12967,3
-Ayu,477,8
-Ayu,29893,7
-Ayu,962,7
-Ayu,3297,9
-Ayu,2563,8
-Ayu,9736,3
-Ayu,32878,4
-Ayu,7817,6
-Ayu,2251,9
-Ayu,3901,8
-Ayu,6347,7
-Ayu,28805,7
-Ayu,5081,8
-Ayu,7674,8
-Ayu,10030,8
-Ayu,34636,8
-Ayu,33573,7
-Ayu,22789,8
-Ayu,32947,4
-Ayu,57,8
-Ayu,31904,2
-Ayu,30782,2
-Ayu,1214,6
-Ayu,530,8
-Ayu,14751,6
-Ayu,20787,4
-Ayu,68,5
